-3.75,-0,0,-1
-3.687,-0.39187,0.31349,-0.94959
-3.5043,-0.74423,0.59538,-0.80344
-3.2204,-1.0216,0.81724,-0.57629
-2.8638,-1.1959,0.95671,-0.29104
-2.4706,-1.2497,0.99972,0.023554
-2.0803,-1.1774,0.94194,0.33577
-1.7259,-0.99647,0.4,0.23094
-1.3807,-0.79718,0.4,0.23094
-1.0356,-0.59788,0.4,0.23094
-0.69037,-0.39859,0.4,0.23094
-0.34519,-0.19929,0.4,0.23094
4.4409e-16,2.2204e-16,0.4,0.23094
0.34519,0.19929,0.4,0.23094
0.69037,0.39859,0.4,0.23094
1.0356,0.59788,0.4,0.23094
1.3807,0.79718,0.4,0.23094
1.7259,0.99647,0.4,0.23094
2.0803,1.1774,0.94194,0.33577
2.4706,1.2497,0.99972,0.023554
2.8638,1.1959,0.95671,-0.29104
3.2204,1.0216,0.81724,-0.57629
3.5043,0.74423,0.59538,-0.80344
3.687,0.39187,0.31349,-0.94959
3.75,-0,-0,-1
3.687,-0.39187,-0.31349,-0.94959
3.5043,-0.74423,-0.59538,-0.80344
3.2204,-1.0216,-0.81724,-0.57629
2.8638,-1.1959,-0.95671,-0.29104
2.4706,-1.2497,-0.99972,0.023554
2.0803,-1.1774,-0.94194,0.33577
1.7259,-0.99647,-0.4,0.23094
1.3807,-0.79718,-0.4,0.23094
1.0356,-0.59788,-0.4,0.23094
0.69037,-0.39859,-0.4,0.23094
0.34519,-0.19929,-0.4,0.23094
-1.4433e-15,8.8818e-16,-0.4,0.23094
-0.34519,0.19929,-0.4,0.23094
-0.69037,0.39859,-0.4,0.23094
-1.0356,0.59788,-0.4,0.23094
-1.3807,0.79718,-0.4,0.23094
-1.7259,0.99647,-0.4,0.23094
-2.0803,1.1774,-0.94194,0.33577
-2.4706,1.2497,-0.99972,0.023554
-2.8638,1.1959,-0.95671,-0.29104
-3.2204,1.0216,-0.81724,-0.57629
-3.5043,0.74423,-0.59538,-0.80344
-3.687,0.39187,-0.31349,-0.94959
