-3.5,-0,0,-1
-3.4183,-0.39587,0.39587,-0.91831
-3.1866,-0.72705,0.72705,-0.68658
-2.8427,-0.93945,0.93945,-0.34268
-2.4428,-0.99836,0.99836,0.057211
-2.0517,-0.89542,0.4,0.17457
-1.6786,-0.73262,0.4,0.17457
-1.3056,-0.56981,0.4,0.17457
-0.93258,-0.40701,0.4,0.17457
-0.55955,-0.24421,0.4,0.17457
-0.18652,-0.081402,0.4,0.17457
0.18652,0.081402,0.4,0.17457
0.55955,0.24421,0.4,0.17457
0.93258,0.40701,0.4,0.17457
1.3056,0.56981,0.4,0.17457
1.6786,0.73262,0.4,0.17457
2.0517,0.89542,0.4,0.17457
2.4428,0.99836,0.99836,0.057211
2.8427,0.93945,0.93945,-0.34268
3.1866,0.72705,0.72705,-0.68658
3.4183,0.39587,0.39587,-0.91831
3.5,-0,-0,-1
3.4183,-0.39587,-0.39587,-0.91831
3.1866,-0.72705,-0.72705,-0.68658
2.8427,-0.93945,-0.93945,-0.34268
2.4428,-0.99836,-0.99836,0.057211
2.0517,-0.89542,-0.4,0.17457
1.6786,-0.73262,-0.4,0.17457
1.3056,-0.56981,-0.4,0.17457
0.93258,-0.40701,-0.4,0.17457
0.55955,-0.24421,-0.4,0.17457
0.18652,-0.081402,-0.4,0.17457
-0.18652,0.081402,-0.4,0.17457
-0.55955,0.24421,-0.4,0.17457
-0.93258,0.40701,-0.4,0.17457
-1.3056,0.56981,-0.4,0.17457
-1.6786,0.73262,-0.4,0.17457
-2.0517,0.89542,-0.4,0.17457
-2.4428,0.99836,-0.99836,0.057211
-2.8427,0.93945,-0.93945,-0.34268
-3.1866,0.72705,-0.72705,-0.68658
-3.4183,0.39587,-0.39587,-0.91831
